Experiment2_SSS_1
True
Position,N,S,E,W
"(0, 0)", 0, -2684.9803399070806, -1983.725776659631, 0
"(0, 1)", -4445.096135993311, 32178.86611957568, -2.032, 0
"(0, 2)", 2021.9411359067883, 20316.09135039723, 714.4028215382109, 0
"(0, 3)", 4405.011237553269, 12204.796362504534, -5.426393699366322, 0
"(0, 4)", 7377.666942109028, 0, 38.507586794999995, 0
"(1, 0)", 0, -567.600930250736, -602.4387681712165, -1191.2072677369433
"(1, 1)", -349.3402878724688, 3067.617174747362, 5.416553946014021, 46509.804429575044
"(1, 2)", 1.1956396286790696, 3299.1587683940893, 4827.637160078402, 3879.6434671226316
"(1, 3)", -1.690450953297228, -1.0, -1.85, 14275.926189195248
"(1, 4)", 0, 0, 4.120000000000001, 579.3412949984153
"(2, 0)", 0, -475.57061481808375, -420.9350820481732, -787.349999425974
"(2, 1)", -389.0216888166774, 1002.8274973167966, 1.598593722662308, 37464.89283873176
"(2, 2)", -17.770218715542786, 960.2758474966776, -9.902360241092838, 14085.138885743725
"(2, 3)", -3.974430055361128, 19.4704992029895, -6.319681937499999, 1935.9398909237302
"(2, 4)", 43.372381224690706, 0, 27.420331564061165, 13.81
"(3, 0)", 0, -206.8500537405638, -358.4770380472538, -228.0836707344169
"(3, 1)", -124.53429792775799, 16.30906429061341, -43.963731542723906, 13790.752406302032
"(3, 2)", -26.270567341843304, 5.264016254020296, -130.1443473846967, -17.882190118449774
"(3, 3)", -20.68787128068231, 10.120964923753903, -133.75776806207637, 3191.3099724931853
"(3, 4)", -2.65595614680875, 0, -4445.701872830432, 18.854284280161874
"(4, 0)", 0, -308.7616361456245, 0, -344.9653135830606
"(4, 1)", -245.63661794091655, -70.88099681852985, 0, -69.74294393248584
"(4, 2)", -183.56487296163561, -953.0059655052464, 0, -163.09501366401267
"(4, 3)", -232.83236507519985, -3901.578307887794, 0, -219.84465603354332
"(4, 4)", -4182.901504195363, 0, 0, -4176.087985046319
False
Position,N,S,E,W
"(0, 1)", 750939139.3180226, 276085792.9654898, 69104.9002827999, 0
"(0, 2)", 1176321410.7038882, 805765659.7871331, -4.965071733693114, 0
"(0, 3)", 1745039869.033002, -1039.7041484424722, -5.900938937499999, 0
"(0, 4)", -645.3941677903377, 0, -756.2576860856129, 0
"(1, 0)", 0, -5.5965590325375, 7231.4845036661145, 2202.505375986196
"(1, 1)", 42062.219445380106, 256535.33066287084, -3.6533175, 178458276.156781
"(1, 2)", -1.0, -2.31875, 339457.44879249623, 151834.65905303427
"(1, 3)", -4.6117583, -5.55678125, -5.033818999999999, -4.482577875
"(1, 4)", -10.887298216928123, 0, 1.7223072931199334e+17, -621.6814587112589
"(2, 0)", 0, -3.2849999999999997, 3024.975483883958, 4216.105164019574
"(2, 1)", -1.0, 25.05063683121905, -5.981144499999999, -1.0
"(2, 2)", 13.65466565, 32.06841750596158, 202114.04331592127, 253109.49890884067
"(2, 3)", 70.13556544715878, -16.933884506609672, -2.9, -3.9864999999999995
"(2, 4)", -8.16204650446645, 0, 4.8856730183469875e+17, 6.831719908818042e+16
"(3, 0)", 0, -5.100585, -3.39, 16241.322609382203
"(3, 1)", -4.383274999999999, -3.6231, -4.06, -3.04
"(3, 2)", -2.533, -1.7, -1.0, 434866.11499546695
"(3, 3)", -5.298304999999999, 35396643609477.52, 2.108293576343843e+17, -17.59615303983916
"(3, 4)", 1.2914428454554482e+17, 0, 6.039903332770376e+17, 2.8757288434244045e+17
"(4, 0)", 0, -3.465, 0, -2.8
"(4, 1)", -2.55, 29689.641211621318, 0, -2.45
"(4, 2)", -3.275, -1.0, 0, 691401.091290511
"(4, 3)", -4.411754999999999, 4.7500433907044186e+17, 0, 39940038868041.39
"(4, 4)", 66073384511865.44, 0, 0, 4.163830636918587e+17
